0,CoD Hex,CoD Binary,CoD Bits,Bluetooth Device Example,Confirmed
18,0x380408,001110000000010000001000,"21,20,19 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DevicePulscom Bluetooth Dongle :Class 2 (CSR – bc4),"00:21:E8 – Murata Manufacturing Co., Ltd."
19,0x6a041c,011010100000010000011100,"22,21,19,17 | 10 | 4,3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …)Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2,3,4: Portable Audio",Portable AudioiPad2 iPad2 iPad iPod touch iPod touch,"70:DE:E2 – Apple, Inc. A4:67:06 – Apple, Inc. 40:30:04 – Apple, Inc. 00:88:65 – Apple 8C:2D:AA – Apple Inc"
20,0x700404,011100000000010000000100,"22,21,20 | 10 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceUnknown AV Headset BlueAnt Supertooth 3 (ST3),"00:16:74 – EuroCB (Phils.), Inc. 00:16:74 – EuroCB (Phils.), Inc."
21,0x720408,011100100000010000001000,"13 | none | 7,6,5,4,3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceMagellan GPS,00:40:D0 – MITAC INTERNATIONAL CORP.
22,0x722404,011100100010010000000100,"22,21,20,17,13 | 10 | 2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceMagellan GPS,00:40:D0 – Mitac International Corp.
23,0x740408,011101000000010000001000,"22,21,20,18 | 10 | 3Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceEonon Car DVD Player,00:13:04 – Flaircomm Technologies Co. LTD
24,0x760408,011101100000010000001000,"13 | none | 7,6,5,4,3,2Major Service Class CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DevicePorsche PCM (Porsche Communication Management System),00:0E:9F – TEMIC SDS GmbH
25,0xb16404,10110001011 0010000000100,"23,21,20,16,14,13 | 10 | 2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 16: Positioning (Location identification) CoD Bit 14: (reserved) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceUnknown Wearable Bluetooth Headset,00:08:E0 – ATO Technology Ltd.
26,0xb50404,101101010000010000000100,"23,21,20,18,16 | 10 | 2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 16: Positioning (Location identification) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceUnknown,00:08:E0 – ATO Technology Ltd.
27,0xb56404,101101010110010000000100,"23,21,20,18,16,14,13 | 10 | 2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 16: Positioning (Location identification) CoD Bit 14: (reserved) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bit 2: Wearable Headset Device",Wearable Headset DeviceBluetooth Headset,00:08:E0 – ATO Technology Ltd.
28,0xf40404,111101000000010000000100,"23,22,21,20,18 | 10 | 3Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceJVC Unit,"00:10:60 – BILLIONTON SYSTEMS, INC."
29,0xf62404,111101100010010000000100,"23,22,21,20,18,17,13 | 10 | 2Major Service Class CoD Bit 23: Information (WEB-server, WAP-server, …) CoD Bit 22: Telephony (Cordless telephony, Modem, Headset service, …) CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceUnknown,00:08:E0 – ATO Technology Ltd.
1,0x000508,00000000000001010000100,"none | 10,8 | 2Major Service Class none Major Device Class CoD Bits 8,10: Peripheral (mouse, joystick, keyboards, ….. ) Minor Device Class CoD Bits 2: Joystick",JoystickNintendo Wii Remote PLus Nintendo Wii U Pro Controller (Nintendo RVL-CNT-01-UC),"58:BD:A3 – Nintendo Co., Ltd. 40:F4:07 – Nintendo Co., Ltd."
2,0x000540,000000000000010101000000,"none | 10,8 | 6Major Service Class None Major Device Class CoD Bits 8,10: Peripheral (mouse, joystick, keyboards, ….. ) Minor Device Class CoD Bits 6: Keyboard CoD Bits 2,3,4,5 Set To None: Uncategorized Device",KeyboardGametel Portable Game Controller,"88:94:F9 – Gemicom Technology, Inc."
3,0x000584,000000000000010110000100,"17 | 10,8 | 7,2Major Service Class None Major Device Class CoD Bits 8,10: Peripheral (mouse, joystick, keyboards, ….. ) Minor Device Class CoD Bits 7: Pointing device CoD Bits 2: Joystick",JoystickZeemote JS1,00:1C:4D – Zeemote Technology Inc. (part of Aplix).
4,0x00250c,000000000010010100001100,"13 | 10,8 | 3,2Major Service Class CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 8,10: Peripheral (mouse, joystick, keyboards, ….. ) Minor Device Class CoD Bits 2,3: Remote Control",Remote ControlPS3 BD Remote Control,"00:06:F5 – ALPS Co,. Ltd."
5,0x002540,000000000010010101000000,"13 | 10,8 | 6Major Service Class CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 8,10: Peripheral (mouse, joystick, keyboards, ….. ) Minor Device Class CoD Bit 6: Keyboard",KeyboardIOGear Keyboard Broadcom Mobile Bluetooth Keybord for iPad2 Logitech K810 Belkin Bluetooth Keyboard Apple Wireless Keyboard,"00:18:A3 – StarBoard FX – Murata Manufacturing 20:11:0A – Unknown 00:1F:20 – Logitech Europe SA 00:02:76 – Primax Electronics Ltd. B8:F6:B1 – Apple, Inc."
6,0x002580,000000000010010110000000,"13 | 10,8 | 7Major Service Class CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 8,10: Peripheral (mouse, joystick, keyboards, ….. ) Minor Device Class CoD Bits 7: Pointing Device CoD Bits 5,4,3,2 Set To 0: Uncategorized device",Pointing DeviceApple Magic Mouse Razer Orochi Targus Bluetooth Presenter for Maci (AMP11),"60:FB:42 – Apple, Inc 00:02:76 – Primax Electronics Ltd. 00:C0:DF – KYE Systems Corp."
7,0x002594,000000000010010110010100,"13 | 10,8 | 7,4,2Major Service Class CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 8,10: Peripheral (mouse, joystick, keyboards, ….. ) Minor Device Class CoD Bits 7: Pointing device CoD Bits 2,4: Digitizer Tablet",Digitizer TabletApple Magic Trackpad,"60:C5:47 – Apple, Inc."
8,0x010500,000000010000010100000000,"16 | 10,8 | noneMajor Service Class CoD Bit 16: Positioning (Location identification) Major Device Class CoD Bits 8,10: Peripheral (mouse, joystick, keyboards, …) Minor Device Class CoD Bits 6,7 = 00: Not Keyboard / Not Pointing Device CoD Bits 2,3,4,5 = 0000: Uncategorized device",Smart PhoneUnknown Device,"00:A0:96 – MITSUMI ELECTRIC CO., LTD."
9,0x080500,000010000000010100000000,"18 | 10,8 | 7Major Service Class CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 8,10: Peripheral (mouse, joystick, keyboards, ….. ) Minor Device Class CoD Bits 6,7 = 00: Not Keyboard / Not Pointing Device CoD Bits 2,3,4,5 = 00000: Uncategorized device",Uncategorized deviceStarBoard FX,00:0E:6D – Murata Manufacturing
1,0x040600,000001000000011000000000,"18 | 10,9 | noneMajor Service Class CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 9,10: Imaging (printing, scanner, camera, display, …) Minor Device Class CoD Bits 2,3 Set to 0: Uncategorized, default","Uncategorized, defaultN465",00:12:F35 – connectBlue AB
2,0x040640,000001000000011001000000,"18 | 10,9 | 6Major Service Class CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 9,10: Imaging (printing, scanner, camera, display, …) Minor Device Class CoD Bit 6: Scanner",ScannerVoyagerBT Scanner,00:0C:A7 – Metro (Suzhou) Techno
3,0x040680,000001000000011010000000,"18 | 10,9 | 7Major Service Class CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 9,10: Imaging (printing, scanner, camera, display, …) Minor Device Class CoD Bit 7: Printer",PrinterBluetooth Combo Printer Adapter O-Neil Printer Datamax-O’Neil Apex 3 B/W Direct thermal printer(APEX3) Intermec PB42 Sony Ericsson XPERIA – MP01753 Woosim Bluetooth Printer with Mobile Technology Sony Color Digital Printer UP-DX100 PW50 Mobile Workboard Printer Datamax O’Neil Barcode Printer Intermec PW50 Mobile Workboard Printer Extech Printer Mobile Print PENTAX PocketJet Zebra Printer (XXRC10) MP03740 Printer O’Neil Printer (MP41007) Zebra RW 420 Mobile Printer (XXRC09) Zebra MZ 320 BT printer (XXXX09),"00:02:72 – CC&C Technologies 00:17:AC – O’Neil Product Development Inc. 00:12:F3 – connectBlue AB MITSUMI ELECTRIC CO., LTD. 00:17:AC – O’Neil Product Development Inc. 00:15:0E – OPENBRAIN TECHNOLOGIES CO., LTD. 00:A0:96 – MITSUMI ELECTRIC CO., LTD. 00:06:66 – Roving Networks 00:17:AC – O’Neil Product Development Inc. 00:06:66 – Roving Networks 00:12:F3 – connectBlue AB 00:03:7A – Taiyo Yuden Co., Ltd. 10:00:E8 – NATIONAL SEMICONDUCTOR 00:03:7A – Taiyo Yuden Co., Ltd. 00:17:AC – O’Neil Product Development Inc. 00:17:AC – O’Neil Product Development Inc. 00:22:58 – Taiyo Yuden Co., Ltd. 00:22:58 – Taiyo Yuden Co., Ltd."
4,0x080618,000010000000011000011000,"19 | 10,9 | 4,3Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 9,10: Imaging (printing, scanner, camera, display, …) Minor Device Class CoD Bit 3: Unknown Imaging CoD Bit 4: Display",DisplayZebra MZ320 Printer,"00:22:58 – Taiyo Yuden Co., Ltd."
5,0x140680,000101000000011010000000,"20,18 | 10,9 | 7Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 9,10: Imaging (printing, scanner, camera, display, …) Minor Device Class CoD Bit 7: Printer",PrinterHP DeskJet 995c O’Neil OC3 Portable Printer Unknown Photosmart C5500 series,"00:05:4E – Philips Components 00:03:7A – Taiyo Yuden Co., Ltd. 78:E7:D1 – Hewlett-Packard Company 00:1A:0E – Cheng Uei Precision Industry Co.,Ltd"
1,0x000704,000000000000011100000100,"none | 10,9,8 | 2Major Service Class none Major Device Class CoD Bits 8,9,10: Wearable Minor Device Class CoD Bits 2: Wrist Watch",Wrist WatchUnknown,00:06:66 – Roving Networks
2,0x240704,001001000000011100000100,"21,18 | 10,9,8 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 8,9,10: Wearable Minor Device Class CoD Bits 2: Wrist Watch",Wrist WatchScosche myTREK – Wireless Pulse Monitor Unknown,"00:1D:DF – Sunitec Enterprise Co., Ltd. 00:06:66 – Roving Networks"
